,Timestamp,Trend Flags,Status,Value,predicted_mean
101,02-Dec-23 1:15:00 AM IST,{ },{ok},23,
102,02-Dec-23 1:30:00 AM IST,{ },{ok},23,
103,02-Dec-23 1:45:00 AM IST,{ },{ok},23,
104,02-Dec-23 2:00:00 AM IST,{ },{ok},23,
105,02-Dec-23 2:15:00 AM IST,{ },{ok},23,
106,02-Dec-23 2:30:00 AM IST,{ },{ok},23,
107,02-Dec-23 2:45:00 AM IST,{ },{ok},23,
108,02-Dec-23 3:00:00 AM IST,{ },{ok},23,
109,02-Dec-23 3:15:00 AM IST,{ },{ok},23,
110,02-Dec-23 3:30:00 AM IST,{ },{ok},23,
111,02-Dec-23 3:45:00 AM IST,{ },{ok},23,
112,02-Dec-23 4:00:00 AM IST,{ },{ok},23,
113,02-Dec-23 4:15:00 AM IST,{ },{ok},23,
114,02-Dec-23 4:30:00 AM IST,{ },{ok},23,
115,02-Dec-23 4:45:00 AM IST,{ },{ok},23,
116,02-Dec-23 5:00:00 AM IST,{ },{ok},23,
117,02-Dec-23 5:15:00 AM IST,{ },{ok},23,
118,02-Dec-23 5:30:00 AM IST,{ },{ok},23,
119,02-Dec-23 5:45:00 AM IST,{ },{ok},23,
120,02-Dec-23 6:00:00 AM IST,{ },{ok},23,
121,02-Dec-23 6:15:00 AM IST,{ },{ok},23,
122,02-Dec-23 6:30:00 AM IST,{ },{ok},23,
123,02-Dec-23 6:45:00 AM IST,{ },{ok},23,
124,02-Dec-23 7:00:00 AM IST,{ },{ok},23,
125,02-Dec-23 7:15:00 AM IST,{ },{ok},23,
126,02-Dec-23 7:30:00 AM IST,{ },{ok},23,
127,02-Dec-23 7:45:00 AM IST,{ },{ok},23,
128,02-Dec-23 8:00:00 AM IST,{ },{ok},23,
129,02-Dec-23 8:15:00 AM IST,{ },{ok},23,
130,02-Dec-23 8:30:00 AM IST,{ },{ok},23,
131,02-Dec-23 8:45:00 AM IST,{ },{ok},23,
132,02-Dec-23 9:00:00 AM IST,{ },{ok},23,
133,02-Dec-23 9:15:00 AM IST,{ },{ok},23,
134,02-Dec-23 9:30:00 AM IST,{ },{ok},23,
135,02-Dec-23 9:45:00 AM IST,{ },{ok},23,
136,02-Dec-23 10:00:00 AM IST,{ },{ok},23,
137,02-Dec-23 10:15:00 AM IST,{ },{ok},23,
138,02-Dec-23 10:30:00 AM IST,{ },{ok},23,
139,02-Dec-23 10:45:00 AM IST,{ },{ok},23,
140,02-Dec-23 11:00:00 AM IST,{ },{ok},23,
141,02-Dec-23 11:15:00 AM IST,{ },{ok},23,
142,02-Dec-23 11:30:00 AM IST,{ },{ok},23,
143,02-Dec-23 11:45:00 AM IST,{ },{ok},23,
144,02-Dec-23 12:00:00 PM IST,{ },{ok},23,
145,02-Dec-23 12:15:00 PM IST,{ },{ok},23,
146,02-Dec-23 12:30:00 PM IST,{ },{ok},23,
147,02-Dec-23 12:45:00 PM IST,{ },{ok},23,
148,02-Dec-23 1:00:00 PM IST,{ },{ok},23,
149,02-Dec-23 1:15:00 PM IST,{ },{ok},23,
150,02-Dec-23 1:30:00 PM IST,{ },{ok},23,
151,02-Dec-23 1:45:00 PM IST,{ },{ok},23,
152,02-Dec-23 2:00:00 PM IST,{ },{ok},23,
153,02-Dec-23 2:15:00 PM IST,{ },{ok},23,
154,02-Dec-23 2:30:00 PM IST,{ },{ok},23,
155,02-Dec-23 2:45:00 PM IST,{ },{ok},23,
156,02-Dec-23 3:00:00 PM IST,{ },{ok},23,
157,02-Dec-23 3:15:00 PM IST,{ },{ok},23,
158,02-Dec-23 3:30:00 PM IST,{ },{ok},23,
159,02-Dec-23 3:45:00 PM IST,{ },{ok},23,
160,02-Dec-23 4:00:00 PM IST,{ },{ok},23,
161,02-Dec-23 4:15:00 PM IST,{ },{ok},23,
162,02-Dec-23 4:30:00 PM IST,{ },{ok},23,
163,02-Dec-23 4:45:00 PM IST,{ },{ok},23,
164,02-Dec-23 5:00:00 PM IST,{ },{ok},23,
165,02-Dec-23 5:15:00 PM IST,{ },{ok},23,
166,02-Dec-23 5:30:00 PM IST,{ },{ok},23,
167,02-Dec-23 5:45:00 PM IST,{ },{ok},23,
168,02-Dec-23 6:00:00 PM IST,{ },{ok},23,
169,02-Dec-23 6:15:00 PM IST,{ },{ok},23,
170,02-Dec-23 6:30:00 PM IST,{ },{ok},23,
171,02-Dec-23 6:45:00 PM IST,{ },{ok},23,
172,02-Dec-23 7:00:00 PM IST,{ },{ok},23,
173,02-Dec-23 7:15:00 PM IST,{ },{ok},23,
174,02-Dec-23 7:30:00 PM IST,{ },{ok},23,
175,02-Dec-23 7:45:00 PM IST,{ },{ok},23,
176,02-Dec-23 8:00:00 PM IST,{ },{ok},23,
177,02-Dec-23 8:15:00 PM IST,{ },{ok},23,
178,02-Dec-23 8:30:00 PM IST,{ },{ok},23,
179,02-Dec-23 8:45:00 PM IST,{ },{ok},23,
180,02-Dec-23 9:00:00 PM IST,{ },{ok},23,
181,02-Dec-23 9:15:00 PM IST,{ },{ok},23,
182,02-Dec-23 9:30:00 PM IST,{ },{ok},23,
183,02-Dec-23 9:45:00 PM IST,{ },{ok},23,
184,02-Dec-23 10:00:00 PM IST,{ },{ok},23,
185,02-Dec-23 10:15:00 PM IST,{ },{ok},23,
186,02-Dec-23 10:30:00 PM IST,{ },{ok},23,
187,02-Dec-23 10:45:00 PM IST,{ },{ok},23,
188,02-Dec-23 11:00:00 PM IST,{ },{ok},23,
189,02-Dec-23 11:15:00 PM IST,{ },{ok},23,
